symbol_nse,symbol_bse,company_name,isin,nse_series,bse_scrip_code,status
,ALANPP,ALAN SCOTT ENTERPRISES LIMITED,IN9273F01020,,890188,delisted
,ALANSCOTT,ALAN SCOTT ENTERPRISES LIMITED,INE273F01022,,539115,active
ALBERTDAVD,ALBERTDAVD,Albert David Ltd.,INE155C01010,EQ,524075,active
,ALBK,Allahabad Bank,INE428A01015,,532480,delisted
,ALCHCORP,Alchemist Corporation Ltd,INE057D01016,,531409,suspended
,ALCHEM,Alchemist Limited,INE964B01033,,526707,suspended
,ALCORDM,Alchemie Organics Ltd.,INE768A01014,,524596,delisted
ALEMBICLTD,ALEMBICLTD,Alembic  Ltd,INE426A01027,EQ,506235,active
,ALEMBICPP,Alembic  Ltd,IN9426A01017,,890101,delisted
,ALEXANDER,Alexander Stamps And Coin Limited,INE191N01012,,511463,active
,ALEXCON,Alexcon Foamcast Ltd.,INE225A01015,,507933,delisted
,ALFAICA,Alfa Ica (India) Ltd,INE042C01010,,530973,active
,ALFALAVAL,Alfa Laval (India) Ltd.,INE427A01017,,505885,delisted
,ALFATRAN,Alfa Transformers ltd.,INE209C01015,,517546,active
,ALFAVIO,Alfavision Overseas (India) Ltd.,INE883B01027,,531156,active
